	A1004	Arecibo 	Arecibo Observatory
6429	17220	SLAC	Stanford Linear Accelerator Center
6429	198869	Stanford U Dep Aero Astnau	Stanford University, Department of Aeronautics and Astronautics
6429	198871	Stanford U Dep App Phy	Stanford University, Department of Applied Physics
6429	198873	Stanford U Dep Chem	Stanford University, Department of Chemistry
6429	201958	Stanford U Dep Elect Eng	Stanford University, Department of Electrical Engineering
6429	402869	Stanford U Dep Geo Env Sci	Stanford University, Department of Geological and Environmental Sciences
6429	A1203	Stanford U Dep Ast	Stanford University, Department of Astronomy
6429	A1204	Stanford U Dep Phy	Stanford University, Department of Physics
6429	A1205	Stanford U Dep Geop	Stanford University, Department of Geophysics
6429	A1417	ICRA	International Center for Relativistic Astrophysics
	6469	CalTech	California Institute of Technology
6469	224033	CalTech Div Geo Plan Sci	California Institute of Technology, Division of Geological and Planetary Sciences
6469	306562	CalTech Div Phy Math Ast	California Institute of Technology, Division of Physics, Mathematics and Astronomy
6469	53411	CalTech JPL	California Institute of Technology, Jet Propulsion Laboratory
6469	A1037	Big Bear Solar Obs	California Institute of Technology, Big Bear Solar Observatory
6469	A1207	CalTech Tele Sci Ctrs	California Institute of Technology, Telescope Science Centers
6469	A1208	CalTech Obs	California Institute of Technology, Observatories
6469	A1209	CalTech OVRO	California Institute of Technology, Owens Valley Radio Observatory
6469	A1210	CalTech LIGO Lab	California Institute of Technology, LIGO Laboratory
	6489	U West Sydney	University of Western Sydney
	6491	U W FL	University of West Florida
	6496	Bradley U	Bradley University
	6505	West Austr Mus	Western Australian Museum
	6515	Trent U	Trent University, Canada
	6527	Drexel U	Drexel University
	6558	Temple U	Temple University
	6572	U Penn	University of Pennsylvania
6572	212701	U Penn Dep Chem	University of Pennsylvania, Department of Chemistry
6572	A1007	U Penn Dep Ast	University of Pennsylvania, Department of Astronomy
6572	A1008	U Penn Ctr Part Cosmo	University of Pennsylvania, Center for Particle Cosmology
6572	A1009	U Penn Dep Phy 	University of Pennsylvania, Department of Physics
	6594	Pittsburg St	Pittsburg State University
	6606	La Roche Coll	La Roche College
	6612	CMU	Carnegie Mellon University
6612	92971	CMU Qatar	Carnegie Mellon University, Qatar
6612	A1088	CMU Dep Phy	Carnegie Mellon University, Department of Physics
	6613	Duquesne	Duquesne University
	6614	U Pittsburgh	University of Pittsburgh
6614	142856	U Pittsburgh Dep Phy Ast	University of Pittsburgh, Department of Physics and Astronomy
6614	A1084	U Pittsburgh Allegheny Obs	University of Pittsburgh, Allegheny Observatory
6614	A1086	U Pittsburgh Dep Geol Plan Sci	University of Pittsburgh, Department of Geology and Planetary Sciences
	6633	U Plymouth	University of Plymouth, UK
	6640	Idaho St	Idaho State University
6640	124319	Idaho St Boise	Idaho State University, Boise
	6654	U Glamorgan	University of Glamorgan
	6657	Bournemouth	Bournemouth University, UK
	6666	Eastrn NM U	Eastern New Mexico University
	6683	Lewis Clark Coll	Lewis and Clark College
	6686	Reed Coll	Reed College
	6689	U Sthrn Maine	University of Southern Maine
	6697	U Portsmouth	University of Portsmouth, UK
6697	416861	U Portsmouth Inst Cosmo Grav	University of Portsmouth, Institute of Cosmology and Gravitation
6697	A1768	SEPnet	South-East Physics Network
	6704	Clarkson	Clarkson University
	6711	Vassar Coll	Vassar College
	6723	U Cen Lancashire	University of Central Lancashire, UK
6723	A1758	U Cen Lancashire Ctr Astrop	University of Central Lancashire, Center for Astrophysics
	6727	U Nrthn BC	University of Northern British Columbia, Canada
	6739	Princeton IAS	Princeton Institute for Advanced Study
	6740	Princeton U	Princeton University
6740	140538	Princeton Dep Geos	Princeton University, Department of Geosciences
6740	168555	Princeton Dep Chem	Princeton University, Department of Chemistry
6740	17217	PPPL	Princeton University, Plasma Physics Laboratory
6740	198482	Princeton Sch Eng	Princeton University, School of Engineering and Applied Science
6740	226624	Princeton Dep Astrop Sci	Princeton University, Department of Astrophysical Sciences
6740	A1023	Princeton Dep Phy	Princeton University, Department of Physics
	6752	Brown U	Brown University
6752	158378	Brown Dep Geo Sci	Brown University, Department of Geological Sciences
6752	A1016	Brown Dep Phy	Brown University, Department of Physics
	6756	BYU	Brigham Young University
6756	14678	BYU HI	Brigham Young University, Hawaii
6756	6860	BYU Idaho	Brigham Young University, Idaho
6756	A1158	BYU Dep Phy Ast	Brigham Young University, Department of Physics and Astronomy
	6760	Wash St U	Washington State University
6760	312979	Wash St Dep Phy Ast	Washington State University, Department of Physics and Astronomy
6760	52670	Wash St Tri Cities	Washington State University, Tri Cities
6760	A1187	Wash St Sch Earth Env Sci	Washington State University, School of Earth and Environmental Sciences
6798	A1040	Triangle Nuc Lab	Triangle Universities Nuclear Laboratory
6798	A1042	NCSU Dep Phy	North Carolina State University, Department of Physics
	6806	S Dakota Sch Mines Tech	South Dakota School of Mines and Technology
	6814	Euro Ctr Med Range Wthr For	European Center for Medium Range Weather Forecasts
	6816	U Reading	University of Reading, UK
6816	150615	U Reading Sch Math Phy Sci	University of Reading, School of Mathematical and Physical Sciences
6816	205853	U Reading Dep Metr	University of Reading, Department of Meteorology
	6822	Albright Coll	Albright College
	6832	U Redlands	University of Redlands
	6846	U Regina	University of Regina, Canada
	6850	U Nevada Sys	University of Nevada System
6850	14722	UNLV	University of Nevada, Las Vegas
6850	6851	U Nevada Reno	University of Nevada, Reno
6850	A1177	Desert Res Inst	Desert Research Institute
6851	A1175	U Nevada Reno Dep Geo Sci	University of Nevada, Reno, Department of Geological Sciences
	6885	Eastrn Kentucky U	Eastern Kentucky University
	6888	U Richmond	University of Richmond
	6889	Virginia Comm U	Virginia Commonwealth University
	6918	Oakland U	Oakland University
	6925	RIT	Rochester Institute of Technology
6925	404578	RIT Sch Phy Ast	RIT, School of Physics and Astronomy
	6926	St John Fisher Coll	Saint John Fisher College
	6927	U Rochester	University of Rochester
6927	A1026	U Rochester Dep Phy Ast	University of Rochester, Department of Physics and Astronomy
	6971	Rosemont Coll	Rosemont College
	6976	Roskilde	Roskilde University
	7011	Arkansas Tech	Arkansas Technical University
	7017	Mt Allison Can	Mount Allison University, Canada
	7037	Roanoke Coll	Roanoke College
	7046	U Salford	University of Salford, UK
	7060	U Utah	University of Utah
7060	402023	U Utah Dep Geol Geop	University of Utah, Department of Geology and Geophysics
7060	A1157	U Utah Dep Phy Ast	University of Utah, Department of Physics and Astronomy
	7067	U TX Sys	University of Texas System
7067	12329	U TX Arlington	University of Texas, Arlington
7067	12330	U TX Austin	University of Texas, Austin
7067	12331	U TX Brownsville	University of Texas, Brownsville
7067	12335	U TX Dallas	University of Texas, Dallas
7067	12337	U TX El Paso	University of Texas, El Paso
7067	12338	U TX Galveston	University of Texas, Galveston
7067	12340	U TX Health	University of Texas, Health Science Center
7067	12346	U TX San Antonio	University of Texas, San Antonio
	7072	SRI	Southwest Research Institute
7072	133951	SRI Boulder	Southwest Research Institute, Boulder
7072	330869	SRI Dep Sp Sci	Southwest Research Institute, Department of Space Science
	7077	Trinity U Tx	Trinity University, San Antonio Texas
7117	A1198	SDSU Dep Ast	San Diego State University, Department of Astronomy
	7119	U San Diego	University of San Diego
	7174	TX St U San Marcos	Texas State University San Marcos
	7179	Chevron	Chevron Oil Corporation
	7180	UNAM	UNAM National Autonomous University of Mexico
7180	111296	UNAM Inst Ast	UNAM, Institute of Astronomy
7180	124154	UNAM Inst Geop	UNAM, Institute of Geophysics
7180	124155	UNAM Inst Geol	UNAM, Institute of Geology
7180	173085	UNAM Ctr Geos	UNAM, Center for Geosciences
7180	373254	UNAM CIGA	UNAM, Center of Environmental Geography
7180	56075	UNAM Ctr Radioast Astrop	UNAM, Center for Radioastronomy and Astrophysics
7180	87782	UNAM Inst Phy Sci	UNAM, Institute of Physical Sciences
7180	87792	UNAM Inst Phy	UNAM, Institute of Physics
7180	87794	UNAM Inst Nuc Sci	UNAM, Institute of Nuclear Sciences
	7198	Intel	Intel Corporation
	7202	NOAA Wash	National Oceanic and Atmospheric Administration, Washington
7202	114091	NCEI	National Centers for Environmental Information
7202	129423	NOAA Ctr Sat App Res	NOAA Center for Satellite Applications and Research
7202	148449	NOAA Nat Geod Surv	NOAA National Geodetic Survey
7202	129421	CIRES	Cooperative Institute for Research in Environmental Sciences
7202	188972	CIMMS	Cooperative Institute for Mesoscale Meteorological Studies
7202	53718	NAOO Alaska Fish Ctr	NAOO, Alaska Fisheries Science Center
7202	53841	NAOO Great Lakes Env Res Lab	NAOO, Great Lakes Environmental Research Laboratory
7202	96721	NAOO Atl Ocean Met Lab	NAOO, Atlantic Oceanographic and Meteorological Laboratory
7202	A1153	NOAA Boulder	National Oceanic and Atmospheric Administration, Boulder
7202	A1805	NOAA Pac Mar Env Lab	NOAA Pacific Marine Environmental Laboratory
7202	A1806	Jt Inst Stud Atmos Ocean	Joint Institute for the Study of the Atmosphere and Ocean
7202	A3037	CIRA	Cooperative Institute for Research in the Atmosphere
	7203	Santa Fe Inst	Santa Fe Institute
	7230	Skidmore Coll	Skidmore College
	7235	U Saskatchewan	University of Saskatchewan, Canada
7235	A1735	U Saskatchewan Inst Sp Atmos Stud	University of Saskatchewan, Institute of Space and Atmospheric Studies
7235	A1736	U Saskatchewan Dep Phy	University of Saskatchewan, Department of Physics
	7252	Motorola	Motorola Inc
	7254	Union Coll	Union College
	7259	U Scranton	University of Scranton
	7284	U Wash	University of Washington, Seattle
7284	189579	U Wash Sch Ocean	University of Washington, USGS School of Oceanography
7284	198855	U Wash Dep Phy	University of Washington, Department of Physics
7284	312706	U Wash Dep Ast	University of Washington, Department of Astronomy
7284	312733	U Wash Dep Earth Sp Sci	University of Washington, Department of Earth and Space Sciences
7284	43339	U Wash Tacoma	University of Washington, Tacoma
7284	52576	U Wash Bothell	University of Washington, Bothell
7284	A1186	U Wash Dep Atmos Sci Geop	University of Washington, Department of Atmospheric Sciences and Geophysics
7284	A1806	Jt Inst Stud Atmos Ocean	Joint Institute for the Study of the Atmosphere and Ocean
	7296	Susquehanna	Susquehanna University
	7302	TX Lutheran	Texas Lutheran University
	7314	Sheffield Hallam	Sheffield Hallam University, UK
	7315	U Sheffield	University of Sheffield, UK
7315	152622	Sheffield ACSE	University of Sheffield, Department of Automatic Control and Systems Engineering
7315	152815	Sheffield Dep Phy Ast	University of Sheffield, Department of Physics and Astronomy
	7321	Sherbrooke	University of Sherbrooke, Canada
	7323	Austin Coll	Austin College
	7326	Centenary Coll	Centenary College
	7334	John Brown	John Brown University
	7374	NM Inst Min Tech	New Mexico Institute of Mining and Technology
7374	A1174	NM Inst Min Tech Dep Phy	New Mexico Institute of Mining and Technology, Department of Physics
	7397	Mt Holyoke	Mount Holyoke College
7397	A1006	Mt Holyoke Dep Ast	Mount Holyoke College, Department of Astronomy
7397	A1027	Five Coll Rad Ast Obs	Five College Radio Astronomy Observatory
	7423	U Southampton	University of Southampton, UK
7423	152284	U Southampton Sch Ocean Earth Sci	University of Southampton, School of Ocean and Earth Science
7423	152285	U Southampton Sch Phy Ast	University of Southampton, School of Physics and Astronomy
7423	410476	U Southampton Aero Astnau	University of Southampton, Aeronautics and Astronautics
7423	42254	Natl Ocean Ctr UK	National Oceanography Center, UK
7423	A1768	SEPnet	SEPnet South-East Physics Network
	7471	Missouri St	Missouri State University
7471	A1103	Missouri St Dep Phy Ast	Missouri State University, Department of Physics and Astronomy
	7473	W New England U	Western New England University
	7474	Wittenberg	Wittenberg University
	7486	St Andrews	Saint Andrews University
7486	150642	St Andrews Sch Math Stat	Saint Andrews University, School of Mathematics and Statistics
7486	150661	St Andrews Sch Phy Ast	Saint Andrews University, School of Physics and Astronomy
7486	A1755	SUPA	Scottish Universities Physics Alliance
	7497	Brock	Brock University, Canada
	7501	Eastrn U	Eastern University
	7506	Coll St Benedict St Johns	College of Saint Benedict and Saint Johns University
	7512	Memorial U	Memorial University of Newfoundland, Canada
7512	A1748	Memorial Dep Earth Sci	Memorial University of Newfoundland, Department of Earth Sciences
7512	A1749	Memorial Dep Phy	Memorial University of Newfoundland, Department of Physics
	7547	St Louis U	Saint Louis University
7547	16260	St Louis Madrid	Saint Louis University, Madrid
	7548	Wash U St Louis	Washington University in Saint Louis
7548	366647	Wash U St Louis Dep Earth Plan Sci	Washington University in Saint Louis, Department of Earth and Planetary Science
7548	A1102	Wash U St Louis Dep Phy	Washington University in Saint Louis, Department of Physics
	7549	Webster	Webster University
	7569	Macalester Coll	Macalester College
	7570	U St Thomas	University of Saint Thomas
	7573	Gustavus Adolphus Coll	Gustavus Adolphus College
	7575	Eckerd Coll	Eckerd College
	7581	Stetson	Stetson University
	7584	U Virgin Islands	University of the Virgin Islands
	7598	Arkansas St	Arkansas State University
	7604	Georgia Sthrn	Georgia Southern University
	7608	Statoil ASA	Statoil ASA
	7618	Oklahoma St U	Oklahoma State University
7618	A1120	Oklahoma St Dep Phy	Oklahoma State University, Department of Physics
	7622	U Stirling	University of Stirling
	7644	Swedish Def Res Agency	Swedish Defence Research Agency
	7654	Ryl Swedish Acad Sci 	Royal Swedish Academy of Sciences
	7655	KTH Ryl Inst Tech 	KTH, Royal Institute of Technology, Sweden
7655	11267	AlbaNova U Ctr	AlbaNova University Center
7655	172280	NORDITA	Nordic Institute for Theoretical Physics
7655	A3014	KTH Dep Phy 	KTH, Department of Physics, Sweden
	7675	Stockholm U 	Stockholm University
7675	11267	AlbaNova U Ctr	AlbaNova University Center
7675	132068	Stockholm Dep Phy 	Stockholm University, Department of Physics
7675	172280	NORDITA	Nordic Institute for Theoretical Physics
7675	243047	Stockholm Dep Geo Sci 	Stockholm University, Department of Geological Sciences
7675	A3010	Stockholm Dep Ast 	Stockholm University, Department of Astronomy
	7699	U Pacific	University of the Pacific
	7703	Staffordshire	Staffordshire University, UK
	7709	U Highlands Islands	University of the Highlands and Islands, UK
	7715	United Tech	United Technologies Corporation
	7728	Laurentian	Laurentian University, Canada
	7735	U Sunderland	University of Sunderland
	7759	U Coll Swansea	University College of Swansea
	7761	Swarthmore Coll	Swarthmore College
7761	A1087	Swarthmore Coll Dep Phy Ast	Swarthmore College, Department of Physics and Astronomy
	7762	Sweet Briar Coll	Sweet Briar College
	7767	NERC	National Environment Research Council, UK
